"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Broadcom_2c:01:97","IPv4mcast_53:52:4d","1","92","1","92","0","0","31.276743000","0.0000","N/A","N/A"
"Ibm_60:cf:e0","IPv6mcast_01:00:02","1","110","1","110","0","0","34.426799000","0.0000","N/A","N/A"
"Dell_f8:dd:7a","Broadcast","1","247","1","247","0","0","35.382210000","0.0000","N/A","N/A"
"All-HSRP-routers_00","Lantroni_67:21:d9","1","94","0","0","1","94","36.130282000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Lantroni_67:21:d9","1","94","1","94","0","0","36.130496000","0.0000","N/A","N/A"
"Dell_e6:84:60","Broadcast","1","64","1","64","0","0","37.390977000","0.0000","N/A","N/A"
"Ibm_b7:13:40","Cisco_30:1d:00","1","66","0","0","1","66","37.873379000","0.0000","N/A","N/A"
"Cisco_70:56:80","Ibm_b7:13:40","1","68","0","0","1","68","37.885286000","0.0000","N/A","N/A"
"JuniperN_93:8e:4f","Broadcast","1","64","1","64","0","0","37.973096000","0.0000","N/A","N/A"
"Dell_2f:28:d9","Cisco_30:1d:00","1","66","0","0","1","66","39.127302000","0.0000","N/A","N/A"
"Cisco_64:7c:76","Cisco_30:1d:00","1","66","0","0","1","66","39.215412000","0.0000","N/A","N/A"
"Dell_8d:a5:9a","Broadcast","1","253","1","253","0","0","39.407379000","0.0000","N/A","N/A"
"Vmware_9b:57:4c","Broadcast","1","64","1","64","0","0","39.657917000","0.0000","N/A","N/A"
"Dell_d5:c8:bc","Cisco_30:1d:00","1","66","0","0","1","66","39.967152000","0.0000","N/A","N/A"
"Dell_d5:11:68","Cisco_30:1d:00","1","66","0","0","1","66","39.982654000","0.0000","N/A","N/A"
"Oracle_99:2a:b4","Broadcast","1","64","1","64","0","0","44.118820000","0.0000","N/A","N/A"
"Dell_fd:58:bf","Broadcast","1","64","1","64","0","0","51.991852000","0.0000","N/A","N/A"
"Oracle_01:27:f1","Cisco_e8:e7:80","1","64","1","64","0","0","54.451454000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_4d:02:40","1","66","1","66","0","0","54.849318000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_7b:c1:a0","1","66","1","66","0","0","54.919483000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_41:ce:ff","1","66","1","66","0","0","54.935610000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_42:2f:1c","1","66","1","66","0","0","55.087341000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_9b:54:3b","1","66","1","66","0","0","55.125553000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_77:3d:9a","1","66","1","66","0","0","55.206754000","0.0000","N/A","N/A"
"Dell_bb:8a:a2","Cisco_30:1d:00","1","66","0","0","1","66","55.227764000","0.0000","N/A","N/A"
"Ibm_60:21:80","IPv6mcast_01:00:02","1","110","1","110","0","0","55.467230000","0.0000","N/A","N/A"
"Dell_36:c1:57","Cisco_30:1d:00","1","66","0","0","1","66","56.925154000","0.0000","N/A","N/A"
"Broadcom_2b:b2:6f","IPv4mcast_53:52:4e","1","92","1","92","0","0","59.804977000","0.0000","N/A","N/A"
"Broadcom_2c:01:97","IPv4mcast_53:52:4e","1","92","1","92","0","0","61.274359000","0.0000","N/A","N/A"
"Intel_ed:62:8a","Dell_e3:55:1e","1","64","1","64","0","0","64.875857000","0.0000","N/A","N/A"
"Dell_3e:41:78","Broadcast","1","64","1","64","0","0","68.664861000","0.0000","N/A","N/A"
"Dell_33:97:6c","Broadcast","1","247","1","247","0","0","71.030042000","0.0000","N/A","N/A"
