"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"316207","78.310676","244.3.160.239","244.3.160.204","TCP","80","36166","64","0.000078000","1","78.310676000","Not set","Set","3791","80  >  36166 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"316208","78.310909","244.3.160.239","244.3.160.204","TCP","80","36166","64","0.000233000","1","78.310909000","Not set","Set","3791","80  >  36166 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"316359","78.379668","244.3.160.204","244.3.160.239","TCP","36166","80","64","0.000005000","2","78.379668000","Not set","Set","3791","36166  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"316391","78.403702","244.3.160.239","244.3.160.204","TCP","443","36164","64","0.000447000","1","78.403702000","Not set","Set","3789","443  >  36164 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"316442","78.427339","244.3.160.204","244.3.160.239","TCP","36164","443","64","0.000681000","2","78.427339000","Not set","Set","3789","36164  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"323149","80.207284","244.3.160.204","244.3.160.239","TCP","36500","443","64","0.000047000","0","80.207284000","Set","Not set","3918","36500  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"323152","80.207373","244.3.160.239","244.3.160.204","TCP","443","36500","64","0.000005000","0","80.207373000","Set","Set","3918","443  >  36500 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"323153","80.207547","244.3.160.204","244.3.160.239","TCP","36501","8080","64","0.000174000","0","80.207547000","Set","Not set","3919","36501  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"323154","80.207615","244.3.160.239","244.3.160.204","TCP","8080","36501","64","0.000068000","1","80.207615000","Not set","Set","3919","8080  >  36501 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"323157","80.207784","244.3.160.204","244.3.160.239","TCP","36502","80","64","0.000115000","0","80.207784000","Set","Not set","3920","36502  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"323159","80.207876","244.3.160.239","244.3.160.204","TCP","80","36502","64","0.000039000","0","80.207876000","Set","Set","3920","80  >  36502 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"323375","80.305311","244.3.160.204","244.3.160.239","TCP","36500","443","64","0.001339000","1","80.305311000","Not set","Set","3918","36500  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"323376","80.305451","244.3.160.204","244.3.160.239","TCP","36500","443","64","0.000140000","1","80.305451000","Not set","Set","3918","36500  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"323377","80.305532","244.3.160.239","244.3.160.204","TCP","443","36500","64","0.000081000","1","80.305532000","Not set","Set","3918","443  >  36500 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
